u.screen_name,u.retweet_count,u.fav_count,u.followers,u.InfluenceScore,Rank,fav per retweet,retweet per follow,,dissemination rank,rank difference,% wrong,abs val,,avg error
nanaware1,296,523,1015,0.438486752,318,1.766891892,0.291625616,2.058517508,394,-76,-0.097560976,0.097560976,,
ZRmeditate42rc,1,2,18,0.017454745,751,2,0.055555556,2.055555556,395,356,0.456996149,0.456996149,,
boujxo,203,400,2390,0.492173248,304,1.97044335,0.084937238,2.055380588,396,-92,-0.118100128,0.118100128,,
pauleddyjr,2,4,39,0.007356393,771,2,0.051282051,2.051282051,397,374,0.480102696,0.480102696,,
sgall70,2,4,61,0.012373199,763,2,0.032786885,2.032786885,398,365,0.468549422,0.468549422,,
SeedBurt,4,8,128,0.047706054,688,2,0.03125,2.03125,399,289,0.370988447,0.370988447,,
MRKokoski,2,4,87,0.017095113,752,2,0.022988506,2.022988506,400,352,0.451861361,0.451861361,,
CynicLady,1,2,79,0.011780898,764,2,0.012658228,2.012658228,401,363,0.465982028,0.465982028,,
meganburton51,3,6,271,0.047134872,691,2,0.011070111,2.011070111,402,289,0.370988447,0.370988447,,
brizzyyy_,6,12,907,0.108858408,563,2,0.006615215,2.006615215,403,160,0.205391528,0.205391528,,
terematthews,71,61,62,0.072508889,627,0.85915493,1.14516129,2.00431622,404,223,0.286264442,0.286264442,,
bbunch56,1,2,247,0.029813629,726,2,0.004048583,2.004048583,405,321,0.412066752,0.412066752,,
yung_niceguy,1,2,254,0.031251436,721,2,0.003937008,2.003937008,406,315,0.40436457,0.40436457,,
maryfrancisperu,1,2,277,0.036327737,712,2,0.003610108,2.003610108,407,305,0.391527599,0.391527599,,
KHABBAB_,2,4,689,0.08332952,605,2,0.002902758,2.002902758,408,197,0.252888318,0.252888318,,
byelin,1,2,467,0.076140561,621,2,0.002141328,2.002141328,409,212,0.272143774,0.272143774,,
LegitOven_,1,2,483,0.060062765,659,2,0.002070393,2.002070393,410,249,0.319640565,0.319640565,,
StoryHobbit,2,4,1073,0.136527311,520,2,0.001863933,2.001863933,411,109,0.139922978,0.139922978,,
LexiGiardina,1,2,658,0.080132785,611,2,0.001519757,2.001519757,412,199,0.255455712,0.255455712,,
BrianGriffiths,3,6,2234,0.251715204,404,2,0.001342883,2.001342883,413,-9,-0.011553273,0.011553273,,
GoucherPoll,1,2,823,0.134888464,524,2,0.001215067,2.001215067,414,110,0.141206675,0.141206675,,
YaTu_Chavez,1,2,841,0.099635226,578,2,0.001189061,2.001189061,415,163,0.209242619,0.209242619,,
edaclumd,1,2,956,0.110318326,560,2,0.001046025,2.001046025,416,144,0.184852375,0.184852375,,
connor_guercio,1,2,1059,0.125816035,540,2,0.000944287,2.000944287,417,123,0.157894737,0.157894737,,
TheHispanicOne,1,2,1195,0.140657136,514,2,0.00083682,2.00083682,418,96,0.123234917,0.123234917,,
crazypastor,3,6,4853,0.529250775,294,2,0.000618174,2.000618174,419,-125,-0.160462131,0.160462131,,
TheRobGoldberg,1,2,1830,0.201705517,449,2,0.000546448,2.000546448,420,29,0.037227214,0.037227214,,
SaGaMuk,2,4,3751,0.416174322,325,2,0.000533191,2.000533191,421,-96,-0.123234917,0.123234917,,
WilliamPhysics,1,2,2853,0.388882388,333,2,0.000350508,2.000350508,422,-89,-0.114249037,0.114249037,,
ifiwasperfect,1,2,5326,0.571295232,285,2,0.000187758,2.000187758,423,-138,-0.177150193,0.177150193,,
wbalradio,1,2,55939,5.895405436,50,2,1.78766E-05,2.000017877,424,-374,-0.480102696,0.480102696,,
HotChoc1217,33,64,655,0.113720324,555,1.939393939,0.050381679,1.989775619,425,130,0.166880616,0.166880616,,
TaylerDukes,520,902,2224,0.811327072,241,1.734615385,0.23381295,1.968428334,426,-185,-0.237483954,0.237483954,,
BigLIL17,31,45,60,0.038372286,706,1.451612903,0.516666667,1.96827957,427,279,0.358151476,0.358151476,,
RJConnally97,167,227,278,0.19053889,458,1.359281437,0.600719424,1.960000862,428,30,0.038510911,0.038510911,,
meechie2_,31,60,1699,0.23862775,415,1.935483871,0.018246027,1.953729898,429,-14,-0.017971759,0.017971759,,
johnxhicks,348,513,730,0.424461573,324,1.474137931,0.476712329,1.95085026,430,-106,-0.136071887,0.136071887,,
HuShuo,550,624,680,0.595996593,280,1.134545455,0.808823529,1.943368984,431,-151,-0.193838254,0.193838254,,
nanofino,514,294,377,0.509625695,296,0.571984436,1.363395225,1.935379661,432,-136,-0.174582798,0.174582798,,
1amwoman,330,393,444,0.366773346,343,1.190909091,0.743243243,1.934152334,433,-90,-0.115532734,0.115532734,,
pkni,987,1354,1774,1.166567046,196,1.37183384,0.556369786,1.928203626,434,-238,-0.305519897,0.305519897,,
Mickelinc,183,237,294,0.206678217,438,1.295081967,0.62244898,1.917530947,435,3,0.003851091,0.003851091,,
sonicyouth420,502,259,364,0.481527452,309,0.515936255,1.379120879,1.895057134,436,-127,-0.163029525,0.163029525,,
kdberr1,116,151,196,0.138762665,518,1.301724138,0.591836735,1.893560873,437,81,0.103979461,0.103979461,,
Ambizzleeee,2051,2013,2251,2.120992951,127,0.981472452,0.9111506,1.892623052,438,-311,-0.399229782,0.399229782,,
mrsmediamom,113,198,865,0.243792574,409,1.752212389,0.130635838,1.882848228,439,-30,-0.038510911,0.038510911,,
RiotGrrrlRiki,105,162,311,0.152493984,499,1.542857143,0.337620579,1.880477722,440,59,0.075738126,0.075738126,,
undeuxtroiscat,607,878,1527,0.742446221,256,1.44645799,0.39751146,1.84396945,441,-185,-0.237483954,0.237483954,,
dcoviello1,511,600,765,0.588957266,281,1.174168297,0.667973856,1.842142154,442,-161,-0.206675225,0.206675225,,
pgfflinda,122,212,1182,0.286222128,383,1.737704918,0.10321489,1.840919808,443,-60,-0.077021823,0.077021823,,
nazmatikk,156,122,148,0.162881288,488,0.782051282,1.054054054,1.836105336,444,44,0.05648267,0.05648267,,
UberGrump,492,516,627,0.524602982,295,1.048780488,0.784688995,1.833469483,445,-150,-0.192554557,0.192554557,,
_Cheesy,16,29,765,0.106840368,567,1.8125,0.020915033,1.833415033,446,121,0.155327343,0.155327343,,
nayasala,673,893,1329,0.814710415,239,1.326894502,0.506395786,1.833290289,447,-208,-0.267008986,0.267008986,,
ketchem308,132,191,345,0.172935298,478,1.446969697,0.382608696,1.829578393,448,30,0.038510911,0.038510911,,
seadawg14,90,89,108,0.098196446,581,0.988888889,0.833333333,1.822222222,449,132,0.16944801,0.16944801,,
ctsmith580,787,932,1241,0.893588135,231,1.184243964,0.634165995,1.81840996,450,-219,-0.281129653,0.281129653,,
ApothecaryJeri,223,392,8004,1.221316681,184,1.757847534,0.027861069,1.785708603,451,-267,-0.342747112,0.342747112,,
Visionaryck,250,291,403,0.281040257,389,1.164,0.620347395,1.784347395,452,-63,-0.080872914,0.080872914,,
justincholbrook,32,56,1056,0.163225338,486,1.75,0.03030303,1.78030303,453,33,0.042362003,0.042362003,,
GRIZZLYWOLFJN,13,23,2703,0.404568648,328,1.769230769,0.004809471,1.77404024,454,-126,-0.161745828,0.161745828,,
adiel_nemi,116,125,170,0.128552815,535,1.077586207,0.682352941,1.759939148,455,80,0.102695764,0.102695764,,
Jewlz_03,65,109,809,0.159230263,491,1.676923077,0.080346106,1.757269183,456,35,0.044929397,0.044929397,,
DrJananB,79,93,137,0.088624149,595,1.17721519,0.576642336,1.753857526,457,138,0.177150193,0.177150193,,
oliviakepners,31,53,779,0.114526952,554,1.709677419,0.039794608,1.749472028,458,96,0.123234917,0.123234917,,
soulamami,120,192,872,0.217102667,429,1.6,0.137614679,1.737614679,459,-30,-0.038510911,0.038510911,,
same_disease,86,112,198,0.10509047,570,1.302325581,0.434343434,1.736669016,460,110,0.141206675,0.141206675,,
MCITLFrAphorism,15,26,4624,0.495738464,303,1.733333333,0.003243945,1.736577278,461,-158,-0.202824134,0.202824134,,
tcysborg,18,29,155,0.045396056,695,1.611111111,0.116129032,1.727240143,462,233,0.299101412,0.299101412,,
I_AmNonso,1910,631,1370,1.765868175,144,0.330366492,1.394160584,1.724527076,463,-319,-0.409499358,0.409499358,,
FialkowPUNCH,59,91,327,0.116023359,552,1.542372881,0.180428135,1.722801016,464,88,0.11296534,0.11296534,,
2A_Scott,129,149,231,0.149156326,504,1.15503876,0.558441558,1.713480318,465,39,0.050064185,0.050064185,,
_bicycleSpace_,52,53,75,0.058240462,663,1.019230769,0.693333333,1.712564103,466,197,0.252888318,0.252888318,,
NAATty_boh,268,269,384,0.290080345,380,1.003731343,0.697916667,1.70164801,467,-87,-0.111681643,0.111681643,,
calv66,25,42,1910,0.267468993,400,1.68,0.013089005,1.693089005,468,-68,-0.087291399,0.087291399,,
D1jthomas448F,16,12,17,0.027129836,730,0.75,0.941176471,1.691176471,469,261,0.335044929,0.335044929,,
egoetschius,64,106,2255,0.343929382,350,1.65625,0.028381375,1.684631375,470,-120,-0.154043646,0.154043646,,
